Supplier_Reliability,Equipment_Height,Equipment_Width,Equipment_Weight,Equipment_Value,Base_Transport_Fee,Location_State,Location_Zip,Order_Year,Order_Month,Order_Day,Order_Dow,Order_Quarter,Delivery_Year,Delivery_Month,Delivery_Day,Delivery_Dow,Delivery_Quarter,Delivery_Time,Equipment_Area,Equipment_Density,Equipment_Cost_per_Area,Equipment_Cost_per_Weight,Equipment_Type_Brass,Equipment_Type_Bronze,Equipment_Type_Clay,Equipment_Type_Marble,Equipment_Type_Stone,Equipment_Type_Unknown,Equipment_Type_Wood,CrossBorder_Shipping_Yes,Urgent_Shipping_Yes,Installation_Service_Yes,Transport_Method_Roadways,Transport_Method_Unknown,Transport_Method_Waterways,Fragile_Equipment_Yes,Hospital_Info_Working Class,Rural_Hospital_Unknown,Rural_Hospital_Yes,Location_Is_Military_Yes,Transport_Cost,Transport_Cost_Log,Target_Shift_Value
0.44,21.0,6.0,-42247.09431481754,3.62,17.13,0,1799,2017,10,20,4,4,2017,10,20,4,4,0,126.0,-335.29439932394877,0.02873015873015873,-8.568636633384604e-05,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,179.5,13.285102272707851,588184.2
0.58,29.0,20.0,1210684.0,9703.37,35.42,49,4556,2016,2,22,0,1,2016,2,24,2,1,2,580.0,2087.386206896552,16.72994827586207,0.008014783378652069,False,False,False,True,False,False,False,False,True,True,True,False,False,False,True,False,False,False,627732.45,14.011009617175535,588184.2
0.97,39.0,15.0,3305.0,40.21,18.54,32,1673,2018,1,10,2,1,2018,1,11,3,1,1,585.0,5.64957264957265,0.06873504273504273,0.012166414523449319,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,1565.92,13.28745589637791,588184.2
0.7,8.0,5.0,606.0,4.55,17.48,4,3303,2016,8,6,5,3,2016,8,6,5,3,0,40.0,15.15,0.11374999999999999,0.007508250825082508,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,257.71,13.285235191630964,588184.2
0.66,27.0,13.0,923864.6722375138,2726.8,30.23,2,59,2016,12,15,3,4,2016,12,17,5,4,2,351.0,2632.09308329776,7.768660968660969,0.002951514525818966,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,8553.52,13.29923464163449,588184.2
0.86,47.0,12.0,171452.93729704717,63.71,63.12,13,714,2016,6,15,2,2,2016,6,17,4,2,2,564.0,303.99456967561554,0.11296099290780141,0.00037158885117039773,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,4687.51,13.292735000638162,588184.2
0.98,22.0,12.0,3990.0,6.99,10.96,3,4779,2019,3,11,0,1,2019,3,12,1,1,1,264.0,15.113636363636363,0.026477272727272728,0.0017518796992481204,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,798.85,13.286154382470794,588184.2
0.460924541128484,27.0,6.0,6358.0,28.29,41.03,20,3735,2016,6,14,1,2,2016,6,16,3,2,2,162.0,39.24691358024691,0.17462962962962963,0.004449512425290972,False,True,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,332.51,13.285362298687613,588184.2
0.54,14.0,7.0,191.0,6.14,21.07,27,1721,2018,2,26,0,1,2018,3,2,4,1,4,98.0,1.9489795918367347,0.0626530612244898,0.03214659685863874,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,338.7,13.285372816582559,588184.2
0.52,13.0,7.0,1725.0,3.98,20.63,27,1464,2018,8,22,2,3,2018,8,24,4,3,2,91.0,18.956043956043956,0.043736263736263735,0.0023072463768115943,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,265.67,13.285248718765077,588184.2
